»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:58:14
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:58:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	30.00
Field:	1153.85 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 147	7.3500e-002	5.2888	6.734844
 148	7.4000e-002	4.0952	5.633727
 149	7.4500e-002	2.9111	4.741243
 150	7.5000e-002	1.7047	3.770199
 151	7.5500e-002	0.5415	2.853245
 152	7.6000e-002	-0.6665	1.695463
 153	7.6500e-002	-1.8585	1.065701
 154	7.7000e-002	-3.0634	-0.277533
 155	7.7500e-002	-4.2634	-1.302667
 156	7.8000e-002	-5.4634	-2.255680
 157	7.8500e-002	-6.6330	-3.115968
 158	7.9000e-002	-7.8378	-4.195192
 159	7.9500e-002	-9.0250	-5.191992
 160	8.0000e-002	-10.2315	-6.196520
 161	8.0500e-002	-11.3947	-7.109610
 162	8.1000e-002	-12.5739	-8.112850
 163	8.1500e-002	-13.7787	-9.194650
 164	8.2000e-002	-14.9915	-10.289327
 165	8.2500e-002	-16.1835	-11.255220
 166	8.3000e-002	-17.3627	-12.326716
 167	8.3500e-002	-18.5387	-13.400788
 168	8.4000e-002	-19.7211	-14.424634
 169	8.4500e-002	-20.9292	-15.590144
 170	8.5000e-002	-22.1084	-16.633307
 171	8.5500e-002	-23.2924	-17.716394
 172	8.6000e-002	-24.4956	-18.839405
 173	8.6500e-002	-25.6684	-19.874841
 174	8.7000e-002	-26.8700	-21.058381
 175	8.7500e-002	-28.0653	-22.183968
 176	8.8000e-002	-29.2300	-23.268343
 177	8.8500e-002	-29.1804	-23.746137
 178	8.9000e-002	-28.4161	-23.743562
 179	8.9500e-002	-27.3459	-23.187208
 180	9.0000e-002	-26.1875	-22.514947
 181	9.0500e-002	-24.9955	-21.707461
 182	9.1000e-002	-23.7939	-20.821416
 183	9.1500e-002	-22.6323	-20.131125
 184	9.2000e-002	-21.4371	-19.322351
 185	9.2500e-002	-20.2402	-18.473654
 186	9.3000e-002	-19.0370	-17.505186
 187	9.3500e-002	-17.8466	-16.595959
 188	9.4000e-002	-16.6209	-15.636507
 189	9.4500e-002	-15.4482	-14.744022
 190	9.5000e-002	-14.2353	-13.796160
 191	9.5500e-002	-13.0593	-12.874055
 192	9.6000e-002	-11.8513	-11.832179
 193	9.6500e-002	-10.6368	-10.812197
 194	9.7000e-002	-9.4432	-9.836002
 195	9.7500e-002	-8.2240	-8.761930
 196	9.8000e-002	-7.0672	-7.932550
 197	9.8500e-002	-5.8255	-6.808252
 198	9.9000e-002	-4.6351	-5.799861
 199	9.9500e-002	-3.4351	-4.783742
 200	1.0000e-001	-2.2543	-3.766336
 201	1.0050e-001	-1.0430	-2.795292

Center data before PMax,±Pr and ±Vc Calc.

PMax (µC/cm2):	2.36e+001
Pr (µC/cm2):	2.33e+000
-Pr (µC/cm2):	-2.80e+000
-Vc:	-2.81e+000
C (Max-Eff) (nF):	2.21e-001
Vert. (±Pr) Shift (µC/cm2):	-2.31e-001
Offset (µC/cm2):	5.45e-001

A (Loop Area - µC/cm2·Volts):	2.15e+002



Hysteresis Version: 5.15.2 - Radiant Technologies, Inc., 1999 - 11/06/17

